id,internal_code
4e59d7ff-91ca-4f98-bbd9-2734d4cb7e3c,BMIGIAL_1
919835f6-6ebe-414a-837e-1522497b8553,BMIGIAL_2
88552c18-79b3-48ed-8fcf-3685c90917b2,BMIGIAL_3
72416eda-ed0f-4c75-a04e-03a56e535639,BMIDIFAN_9A
848bb056-99ed-47e4-9fc5-4557f10bf6f4,BMIDIFAN_9Z
7470d6d9-0864-4b47-a186-18fe3c8d4e51,BMIDIFAN_9AA
993683cc-9606-4084-8998-65ad04f500f8,BMIDIFAN_9AB
2c7c1eae-81d6-4068-bfd9-44352da643d0,BMIDIFAN_9AC
bb26a20c-f409-4b2a-807d-c3f1d5f423fe,BMIDIFAN_9B
07fcb2cc-b543-4fd0-8073-c6a8e62fd4e4,BMIDIFAN_9C
b70267e3-5d99-4d61-bb0f-9687c1b3b22b,BMIDIFAN_9D
5d7a0a14-1633-45cf-afa0-e42e4f427351,BMIDIFBAA_8W
1213fe8a-329b-4476-94db-730a056f5e78,BMIRE005
aaa3e65f-6b02-4c8f-9093-4d2f75ce2118,BMIREC001
05318b0a-9a78-4375-880f-65dab663c0a3,BMINNF002
ad6722aa-5cb6-46c9-9345-9b853c144d40,BMINNF003
c2c19fcd-f001-4e10-99a1-aa65443f1271,BMIREC014
6e458994-5ebc-4641-9052-fd256f2f5cbd,BMIREC020
4334b220-668a-40c9-a7d5-5147b4742a93,BMIREC021
d9d08987-110d-4f7b-98cf-b3c933af1b9d,BMIREC012
199ea015-853a-439a-812e-1c6b07f7fdfc,BMIREC013
018c1456-1e18-495e-9dfd-ca747683176a,BMIREC016
1d72425a-b139-4cf2-a970-aaa42cea4ca4,BMIDIFAN_9E
e3d77eb9-46e2-43f2-a768-51b1c53d5a2d,BMIREC017
82f6277c-9855-42d9-89eb-2e7179f05b89,BMIREC024
6fb22ef7-a2a3-4862-b517-962916b92f20,BMIPRICENG_014_REVIEW
5d501f8b-fa64-4b27-8303-065ce661690f,BMIREC003
9af67b81-5925-4f89-a4ca-6662f44528a6,BMIREC018
952c690a-aafc-49ed-bf44-f1d951418dc6,BMING011
72a9e9be-342d-4d3a-a9c6-e86863f42e81,BMINS003
99284448-b0a1-4251-bf24-ccc187d42c07,BMIREC019
63ac2d2d-61b6-474d-824a-9bc8298cb8b1,BMIREC026
70076db0-c4fa-4112-9298-79e96e9c6ca0,BMIREC028
efcf86df-6cd4-45fa-a0b1-0d3a76b38b03,BMIREC029
792b69ef-b937-4639-a1d0-c4b545214cd3,BMIDIFAN_9F
1c2ef416-b33d-4a82-bd8c-8b97027dc6d5,BMIREC015
9c9dec85-08fb-4f24-8681-ad7b44823e60,BMIBAT037
b42010f8-8b38-434e-861a-48e4fab31c31,BMIBAT038
f5fe430e-1757-44b9-bc95-9f15c220b568,BMIBAT041
614b693c-c797-4c74-98f9-b102e6213864,BMIBAT042
3a785b96-f416-4247-80fa-0699e52877cb,BMIBAT043
3b129bd5-aa3b-409c-8d85-a19401a3f27b,BMIBAT054
fa5671a7-3383-4a8d-aa69-deb3043275d1,BMIBAT055
da473b26-7b59-46b8-b611-6e4bcbc01372,BMIREC004
20f56e9d-f43d-4684-a187-ace0b7961421,BMIREC005
714e3eb8-4568-4cb2-a6e8-a62d7cb29340,BMIREC022
164ba6a8-f2f3-4d18-9fbd-c41f240fb4d1,BMIREC023
f12c34be-175a-4935-955b-e3d7b29ca686,BMINM001
4b4b1f2c-578c-4943-884c-91083017c9d7,BMINS002
857262a4-06a2-4c8e-917f-fc3ee6f8f8d6,BMIREC025
e986fd4d-a3e4-4255-99e3-bc1db505e0c3,BMIMN001
315990bf-4aa6-43f0-99ae-8249defb5048,BMISG009
101fba3f-5da9-4858-8482-975b74292745,BMIPRICENG_012_REVIEW
c626ff51-d118-44bb-ac30-e117ec603727,BMIRE009
fa9ffba8-d41b-4ffb-b824-80e35a3a719a,BMIRE010
cd968a77-d913-4a49-a4b6-aca09a752bc9,BMIBAT016
943a2c01-dc89-4a9f-bcb5-ec4214812fd7,BMINS001
f03d7f3e-270d-479b-8aa6-0bad37d58566,BMIDIFCA_2V
059899f6-4436-4f76-868a-b9200368504e,BMIRE012
f8f47cf2-3dd8-4d83-900b-945b6de9928d,BMICM001A
93e20bed-bec9-4fde-a55d-0b4fa6411442,BMIBAT001
91962361-3f79-4029-8985-821c3292ae81,BMIBAT014
8ce94cf2-8ce8-4f67-a3cd-1aa9822c907d,BMING003
8a900a80-b81a-423e-b72d-40d11a7401f9,BMING010
77ee9ccd-72ab-4e2f-9e14-ad0aec68d2c3,BMING014
